cache-misses-1,node-loads-1,branch-misses-1,branch-load-misses-1,cache-misses-2,node-loads-2,branch-misses-2,branch-load-misses-2,cache-misses-3,node-loads-3,branch-misses-3,branch-load-misses-3,cache-misses-4,node-loads-4,branch-misses-4,branch-load-misses-4,cache-misses-5,node-loads-5,branch-misses-5,branch-load-misses-5,label
36148145,2550652,30721575,30722458,78680830,6086202,52230590,52230327,69749907,5254032,36666325,36666980,54923211,3918065,26204613,26203675,47737054,3346739,17187022,17186981,26
37678917,2693264,31555946,31556519,76914199,5962681,49912573,49912097,81007498,6143095,42297591,42301589,49653331,3546192,24174152,24170349,46414422,3270278,17112921,17112880,27
33775695,2311828,28748224,28749958,77843791,6042118,49830266,49828773,81991693,6117384,45121566,45122426,50421284,3601908,23982704,23981895,46828087,3275396,16862241,16862152,27
37578770,2626913,32683118,32683637,64173968,4501879,39820186,39820256,64198397,4944929,38002668,38002079,56566039,3980891,25921155,25921459,52108727,3776136,34858106,34858220,19
33379768,2410100,22188296,22188941,72730673,5577012,46679159,46680045,83205592,6928805,38128325,38127578,59501245,4332331,32824955,32825863,87647303,6875344,42584950,42584931,4
32822119,2371648,23165996,23166141,71355174,5480209,44059624,44060740,81107148,6701347,37576441,37576031,63325455,4818263,33020588,33020692,84360312,6594462,40743791,40744723,4
32934730,2259251,30666069,30667282,75816636,5891357,47797353,47797548,76055110,5727937,38709124,38709023,81511651,6037509,42357450,42358076,57629997,4069564,25808441,25806734,8
35670654,2534951,31078985,31080058,79311371,6010132,50202875,50203089,73252827,5498974,41387587,41388614,65413919,4642584,31367373,31365607,46505996,3231385,17191024,17190811,30
36117141,2564722,30928339,30929342,66333088,4735708,42106374,42105609,55496257,4185654,28416791,28417385,71113656,5270080,37542133,37542337,56449467,4046263,22458122,22457929,12
33524625,2296325,29811923,29812979,78509726,6064019,49443282,49443672,74711458,5571810,42893913,42893349,68972217,4975820,33784039,33783563,64635460,4581263,75226058,75229097,24
35075225,2540880,23643774,23646644,72261887,5734115,45103274,45103225,71445971,5382886,33934513,33932118,69396878,5302115,40086398,40088206,69587311,5373619,21862186,21860172,5
34491526,2392798,30234989,30235494,77460106,5867616,49939882,49940783,72093401,5520171,38694012,38693592,59966869,4271380,26276217,26276050,54133899,3825727,23960934,23961031,12
35489269,2485981,29547479,29548219,65246184,4692525,43230038,43229378,51066927,3782520,28076642,28077286,71616876,5441318,34141433,34141030,53564892,3821068,25683525,25684094,18
32631866,2225704,27664726,27665932,76920228,5644613,51581776,51581035,63091888,4872319,36671555,36672630,56303849,4002303,24733795,24732512,49726624,3521401,20688910,20689182,19
36795045,2688808,23990104,23991892,76046530,5998657,47047212,47047405,77898363,6432259,34578873,34579445,53091747,3859255,28316741,28314961,45349118,3146196,16686028,16685641,1
36907861,2565003,30964303,30966249,77459096,5910569,49772344,49771520,69262214,5227148,39112865,39112557,50623358,3520973,22600173,22599676,64101925,4631223,29893744,29896164,24
31371561,2136295,28220221,28221811,67689536,4844381,45075438,45074646,50914118,3776513,26462545,26462891,72664465,5397332,38535383,38535519,59777723,4256223,28630341,28629395,9
33401307,2307065,27148589,27149007,79433101,6210368,52909621,52911419,79454791,6188099,41426449,41424495,54371585,3771928,25868653,25870475,47630291,3308350,17539427,17537591,26
32430017,2218972,27613945,27614761,77352927,6021731,49735278,49734548,78869065,5908031,42204148,42205231,58778618,4348142,32030016,32030063,53253920,3848236,18550765,18549857,5
33096092,2287531,27782647,27783426,76318610,5655783,51422400,51422597,70135914,5338085,38852550,38852928,63880431,4540240,28710571,28710399,48337269,3505617,17898330,17897442,12
34666883,2392015,28689583,28689610,76738620,5882679,50759406,50760792,81176451,6120250,44548266,44547073,64794236,4763917,31517516,31517314,54116697,3992644,19143622,19145885,5
36647600,2539764,31284581,31284794,69258606,5041907,44296945,44297155,64320665,5021218,39161137,39161577,60845858,4407427,28333623,28334407,47086929,3292901,17899406,17898060,17
37873163,2680136,32296364,32296663,76301633,5893787,50134932,50136590,61570116,4639332,31978248,31979094,76410516,5571515,40189127,40186646,62260147,4415570,32155322,32155087,15
36267638,2549212,31432286,31432540,75884633,5719324,49566063,49567748,72630839,5517024,39896151,39896068,55528606,3949321,23720677,23719155,49493850,3461409,20393854,20394634,12
34214217,2356125,29582982,29584183,76986287,5897924,49661149,49660931,76185282,5904308,39797348,39797961,70336653,5057370,39265455,39264664,46718603,3286527,17461515,17462987,26
30650199,2194360,21078635,21079150,73548191,5818400,47619787,47620444,62607642,4891243,31270700,31269802,77644868,5838632,35731682,35732908,59441175,4381501,19468023,19466788,3
30260720,2182267,19783360,19784705,67861380,5069912,44209265,44208124,60786895,4707630,27561198,27561014,78609750,6134673,32060320,32061063,80224291,6025097,32063715,32062952,7
33847283,2321702,28924440,28925535,77327602,5971343,49120207,49120776,73469810,5572775,36680953,36680356,67219527,4868122,36253836,36253095,57528708,4125278,24673504,24673806,8
37041542,2614421,31158344,31159123,77088151,5812731,48573451,48573935,73930183,5636270,41734573,41734547,67989645,4863505,33547903,33547377,52146662,3807945,18405474,18405139,5
34677762,2457223,23251607,23251787,79295072,6175971,47202906,47204102,80252558,6655900,36600856,36600020,58275209,4170345,27487694,27487928,46521872,3278863,17027268,17026796,1
34782750,2479182,24479459,24479957,80456998,6292548,46539024,46541237,76689036,6142275,35939338,35937706,49732978,3652558,24622127,24622180,45377294,3128426,16823519,16822694,1
35045024,2405529,30213308,30214051,71051530,5160776,46808976,46808415,72365539,5557523,39970022,39969840,61609469,4441785,28156689,28157453,50212299,3522048,18367923,18371090,12
30024537,2143393,20714050,20714657,66035318,5052768,39887003,39888559,84774847,6766820,42878925,42878669,74006638,5973603,36042278,36041602,97521276,7585920,37047779,37049622,6
36371464,2665423,24460914,24462788,76596690,6007927,46177354,46176324,76234093,6144505,34728484,34730452,58267882,4314379,27478921,27476111,48347073,3453262,17968554,17968854,1
33450141,2331123,28961295,28961656,79691604,6208912,52245876,52247713,69957472,5149073,39565302,39563993,55429642,3898760,24949158,24948948,48039485,3331912,17729473,17729069,13
38266638,2712538,33035123,33035678,62651931,4528107,40585866,40585318,51742386,3820600,26095538,26096070,48889333,3432558,18179651,18179843,29034090,2252607,15051535,15050804,20
35579361,2476900,29700820,29701254,76420295,5970547,52016501,52017526,84354349,6481617,40610646,40610344,52273653,3695219,24485681,24485411,47723934,3360585,36947380,36948117,23
34133913,2423991,28156866,28157471,65318137,4695204,43151991,43151396,50454877,3662064,27550696,27551052,84642218,6440765,40662333,40663152,78390526,5690605,41125885,41124917,28
36509818,2585456,32212378,32214514,79183883,6124478,50753467,50751711,57568158,4333663,30877166,30877061,70984679,5283784,32595812,32596154,75743436,5587792,36403833,36404459,14
33346037,2296739,28699554,28700389,79789764,6162537,52111301,52111488,80375228,6372996,42094754,42094655,68845824,4821764,44959527,44960329,57956941,4163951,26169964,26168912,15
34650326,2382991,29040080,29040787,81105597,6318261,50644320,50644948,79871321,5961160,42334999,42334654,46632092,3268992,23498041,23497368,45949878,3247588,16668919,16668903,27
34188683,2366384,27993795,27994355,83411134,6446444,55061398,55061166,59941150,4485698,36136839,36137976,60107241,4311781,28753288,28752110,45305273,3128962,17163810,17164497,22
34246243,2373016,30382681,30383335,66795568,4769569,42205313,42206034,75251232,5758012,45946372,45945726,61626081,4342484,29256967,29256240,51141880,3618406,19045032,19045875,23
33975635,2378526,28947938,28947970,79432759,6169513,53027222,53028356,72534108,5415400,41507106,41507330,54192262,3788077,23859441,23858051,48461753,3377681,17741840,17742128,13
34438922,2348385,30408640,30409126,80868651,6152642,50956267,50957800,70194752,5417266,41499413,41498943,72532981,5325332,36178450,36178976,59645684,5366633,19906410,19904595,24
21273804,1381736,19583263,19583504,56411266,4224290,38587945,38588021,66699952,5040268,35647936,35647685,39314439,3038745,28768384,28768725,57852729,4122257,30495751,30495891,2
35366841,2493764,28323283,28323488,75800691,5761372,51640574,51641105,86487223,6713693,38062307,38062237,80981682,6195678,37925406,37924750,64826597,4827684,24247206,24248411,16
31829346,2143353,27974579,27976733,78497057,6057804,51832375,51831376,70288190,5560487,40535574,40535802,65614547,4716809,38216126,38215827,89842420,6835437,49629240,49628416,4
32337873,2185328,27848820,27849159,79170087,6143836,53711262,53712412,74974630,5715595,38165797,38166458,76583906,5575004,50603993,50604708,59420925,4454779,62100971,62099707,24
30425041,2248365,19359603,19360821,64751172,4838172,41942271,41941657,39841346,3012810,20267204,20267747,62568614,4904926,26021382,26020478,82552663,6029661,30591861,30594256,7
32604745,2195090,26989056,26990911,78485827,6012180,51497780,51496687,67135362,5276222,36503321,36504123,67552858,4925956,40291213,40290397,74773611,5832866,31861276,31860978,2
35168502,2436185,30764999,30766512,67501482,4850548,43175811,43174368,74127161,5813537,45415183,45417128,69598719,4861705,33943453,33941745,46875606,3246347,17381466,17381460,30
36609307,2569830,32105700,32105721,79224829,6148827,49518133,49518879,74314084,5660439,41036754,41036848,76467674,5663586,40405272,40407153,57068055,4211992,66960994,66959973,24
38398931,2800110,25850031,25850282,86967341,6875396,51915413,51916410,82663846,6556214,39598101,39597445,55961188,3931913,23594455,23594146,48884058,3425754,17976486,17976435,1
37786202,2656953,32511161,32511677,79714169,6131112,50338384,50339114,75877862,5595243,45199470,45200420,49791534,3529862,21553420,21551553,48628364,3463020,17636461,17636454,27
29886351,2098407,21928192,21928607,70923881,5349299,45522978,45523738,81709189,6780033,40507837,40507369,62700701,4777896,34565033,34565867,96255748,7726436,43405212,43404509,4
33528453,2350297,28129129,28129527,68069011,4900728,44158077,44157983,66321647,5217943,36970966,36972146,47552947,3267767,18262885,18261675,62016575,4391866,31839907,31840407,21
34940458,2468896,29636823,29637690,80743132,6321970,52984044,52985232,53730708,3961964,29922628,29922801,58597683,4204245,28267352,28265391,46845034,3324011,16999262,16999151,22
31746779,2155989,26665003,26665787,68377287,4981283,46382749,46382053,65480981,5066690,33781433,33781372,56759183,4021753,22651517,22651698,40739908,2879759,17889123,17889514,7
32441783,2255172,28241474,28242326,68520042,4854672,45810039,45809322,65083139,5033639,35930809,35930773,65571521,4670301,30473288,30473491,54239152,3875256,19765395,19765838,12
33063115,2261628,29248609,29250004,78243109,6033449,50632032,50632471,73624786,5512864,40025784,40025901,56166072,4037591,28360077,28358476,47367057,3347651,17330657,17330659,21
36554449,2530076,32301435,32302376,65816941,4651787,41785401,41784808,67164170,5223675,37073163,37074084,79220205,5685203,38542590,38542425,62035849,4468463,28364979,28364113,28
35614118,2478490,29888778,29888810,80020045,6227084,50676530,50678513,59154475,4470102,30818588,30818195,65888481,4860617,33280446,33279983,79499000,5961530,37317849,37316917,14
37698948,2621452,32759167,32759846,74115713,5392189,46208749,46210220,69072714,5431316,41743527,41741649,60771227,4280071,30245424,30245934,47820740,3314887,17762301,17761838,13
28693720,2113287,18943803,18944021,62746061,4821391,41351078,41352371,81584842,6585095,37208204,37207401,72097766,5720807,35657241,35657171,99423200,7777677,40549696,40549658,6
32942727,2251574,28499617,28500349,80063979,6274136,51317351,51318899,78865007,6084294,43621930,43620062,58287298,4056911,31981478,31981066,52390633,3701863,18581990,18582545,26
29371991,2179090,19865746,19866266,68636362,5258313,44517984,44518158,81132249,6512395,38810380,38810157,77439077,6226686,34244841,34245588,108545300,8670444,42549884,42549536,6
33243262,2247747,28951895,28954372,81059850,6149654,52334586,52333543,76229694,5780222,41805144,41804525,64520263,4594182,31914515,31913706,46923321,3255689,17250987,17251922,30
37559297,2662671,33050748,33051315,65377367,4740883,42133873,42134269,66771215,5234274,37925622,37926792,65115611,4530844,36272528,36272363,49540950,3506158,18131261,18131246,9
35244279,2454558,30205138,30205727,66757221,4864782,42740495,42740115,56702868,4260220,31928274,31928738,85306975,6501129,41154193,41154234,72284989,5248092,31808687,31808866,18
33149746,2247770,28664909,28665694,74583840,5668296,49191128,49190657,71159825,5702559,42484718,42486260,64888547,4636021,36851013,36849741,91714724,6949350,51067466,51068935,4
31602695,2135230,26100784,26101601,73612056,5492184,49903786,49903631,69141398,5178953,39108065,39110202,73009409,5286163,40133046,40130520,59833144,4385372,21282062,21284022,5
34003640,2484713,22957037,22957766,72003087,5561286,45779184,45779477,85058105,7154889,36444931,36444770,58206163,4285400,34282566,34282482,92936764,7326135,44998587,44999863,4
33967357,2440334,23385311,23385640,78464538,6150182,46802524,46802459,80628140,6531680,37570048,37571836,54915552,3914618,26309912,26308706,45228910,3109887,16533685,16533310,1
34651123,2426731,29117281,29118247,81313828,6116769,54770271,54769985,75936545,5814984,43920556,43920415,68452356,4779257,34224658,34224396,48085029,3357765,17576062,17575787,30
36885644,2581618,31704624,31704830,75034268,5782143,47200794,47201679,72221402,5331215,43555734,43556782,59252519,4314688,27610306,27609944,54639899,4059413,18840058,18840474,5
33408224,2305251,28099933,28100467,76470698,5914457,51560624,51560834,88121941,7030435,44027421,44027143,51663169,3539931,31641105,31641301,46552857,3263846,20102634,20102303,25
33966670,2408492,23133114,23133562,77979412,5985951,46842180,46842362,77332397,6333647,34377026,34379889,53407985,4082955,27372025,27368821,46459890,3193926,17069334,17069401,1
38123455,2684683,32351923,32351999,82013295,6307857,52153064,52154888,71042813,5284956,37948549,37947994,48357942,3372639,23898251,23897840,45910918,3144889,17170437,17170578,22
34850308,2427395,30276726,30277004,68580453,4986007,45786965,45787036,69432061,5351928,39584914,39585151,66875582,4704228,36022221,36022020,56106702,4015409,24597142,24597068,9
34639046,2430126,28820473,28821640,80196122,6019547,51905032,51904792,63227758,4827537,39239417,39240182,60955308,4276170,26687143,26685695,45301768,3116851,17236580,17237094,13
35669398,2458375,31750397,31750993,77654181,5884627,48725340,48725719,67268683,5116212,40803052,40802444,59662816,4147919,30568776,30568721,59179653,4249325,23771948,23772647,9
35196787,2445784,29382966,29384799,78927601,6082742,51018649,51018512,79152756,5894428,41516946,41516308,47120570,3336656,23139823,23139069,50027809,3542412,18925546,18925641,27
33949763,2451638,22611021,22611840,76837745,5998639,46243277,46244159,79697476,6173718,38557925,38558511,48601389,3663064,24685919,24683920,45626347,3219780,16794118,16794107,1
32999096,2274357,27624653,27625990,68120951,4885265,44376049,44375368,64898221,4927241,35942197,35942393,63917912,4667806,30943849,30943924,52686301,3593993,22113174,22112561,11
36028614,2530034,29190854,29193376,76609379,5893211,47927645,47926683,81694714,6226851,40197232,40196548,72855182,5441183,39216098,39215843,51926020,3709524,21605079,21604770,8
33151817,2294469,28468947,28469602,80327039,6087556,53373828,53374230,78085527,6102815,42638867,42639371,68071799,4719525,32903990,32902758,48724269,3384220,17467025,17466935,30
33404509,2369361,22942903,22943241,77854981,6137520,47480745,47480768,74695923,6067603,34851473,34851826,51078397,3721657,25187334,25186964,45408025,3208439,16829971,16829905,1
33515472,2303224,29722302,29722473,78695131,6166632,51752184,51753024,76507465,5826166,42790430,42789911,60768955,4421686,33487400,33487988,65665875,4671575,32069016,32068300,29
33175803,2304641,29794653,29795668,81165033,6209229,53069738,53070921,60062602,4521313,35836673,35838207,59114135,4278611,24114665,24112482,51154877,3675063,24065836,24064919,22
30139298,2292968,17955809,17956565,69062777,5260198,44579886,44580316,82457700,6708863,37905374,37906568,72999851,5898335,34757331,34757327,94393444,7496336,37009618,37008391,6
31841787,2150170,27795031,27795779,77994434,6080029,50366991,50366696,73838310,5581200,40968677,40968675,73500575,5391976,38708785,38709738,59559926,4267378,70612122,70610724,24
36561667,2554464,30310185,30311886,65253331,4686786,43147924,43146229,49624311,3583942,26687698,26688320,47728789,3490141,18822759,18822498,31003702,2416823,15743467,15743100,20
34048826,2456134,23175853,23176320,74482946,5835758,47851524,47851704,59075822,4608106,30655556,30655056,81238493,6232018,36172884,36174751,81234104,6129283,29105810,29104904,3
33825933,2325735,29405595,29406058,73511414,5421925,47549403,47549351,63110734,4847519,38493317,38493318,59119608,4247415,27783709,27784357,47965121,3309179,18182893,18182174,17
36141076,2519085,29746400,29747020,65793235,4718613,44728768,44728838,67454893,5100438,36871740,36871699,65327984,4845858,31897885,31897956,46074275,3174167,17756654,17756164,11
31672764,2142809,27287198,27287485,77968995,5916686,51507316,51508758,72736757,5573123,39381925,39381201,58778282,4232215,26571401,26570748,51267444,3566924,22541797,22541732,12
32592317,2213594,27080479,27081710,78019399,6178421,50451514,50452259,74738823,5675729,39476231,39474567,66943599,4980130,40808055,40809982,89079582,6713922,48071231,48069316,4
32220632,2245303,26891281,26892247,68810187,4958306,46681715,46680863,62836758,4888594,35278368,35279232,69105844,4848920,33423657,33422942,53856084,3869611,19923276,19923793,12
32833645,2257326,27234741,27235402,80342871,6152394,54700374,54702558,76815054,5987013,40346051,40344200,63655292,4445897,39488915,39490537,50853801,3581564,19975018,19972799,29
37061259,2616607,30892271,30892293,78900494,6043352,50280169,50281351,78637574,5916854,43873735,43873715,50148633,3640186,23066950,23066249,47747828,3340986,17628683,17629083,27
35995912,2527150,31379612,31379773,79799355,6150676,51831680,51832963,77788769,5660396,43563107,43562593,50907967,3643294,23963543,23962773,52707207,3652198,23024835,23024971,27
34344714,2440917,23486879,23487515,74354425,5699744,47384335,47384465,59624817,4804884,33060646,33060176,54584238,4217112,29427231,29428795,43269052,3025864,24260665,24259302,2
37687272,2653780,31988387,31990164,78370083,6095051,46941109,46939680,78709034,5936626,43078129,43078659,47380233,3335035,22124829,22125911,48365157,3411181,17566660,17565370,27
